- დო თე კაჭიჭი მუჭომ ჸურძენიდ ან მუ ფერიდ?	What kind of grape was Kachichi? What color was it?
- ჭიფანაა... ჭიფანა ჸურძენ უუღუ.	It has small... small grapes.
ჭიფანა კაკალეფ უღუუ.	It has smaller grapes.
ჯგირ ღვინ უუჩქუ, ჯგირო ქჷდარინუანქი დო, უჩა ღვინი.	Good wine is made of it if you make it properly, red wine.
ხოოდო კაჭიჭიშ უმუშო ადესა ღვინ მუთუნ ვაარე, კოჩანას კაჭიჭჷ არძეენს.	And, without Kachichi, Isabella wine is nothing. It is Kachichi that gives it strength.
ხოო ათეჲ გურშენი დიო კაჭიჭი რე, ადრე მოშმელენს.	And, owing to this, Kachichi is prior. It ripens earlier.
კაჭიჭის დოჭახუნდეს, ქოდარინუანდეს, უკულ ადესას დოწილუნდეს, თის ქუდარინუანდეს დო უკულ ათე ღვინს ართმაჟიას ქუხოლუანდეეს.	Kachichi was squeezed and wine was made. Later, Isabella was squeezed and wine was made. Later, the wines were mixed.
ოოდო თინა უმოსო აუჩარენდუ ადესას.	And, it made Isabella darker.
ადესას ბრელ მუთუ ინა ვაუღ, მუ ჯოხო, ღვინობაჲ დიდ მუთუნ ღირსება ვაუღ ისი დო.	Isabella does not have much that, what do you call it. It does not have much worth of wine.
კაჭიჭ არძენდუ მუჭოთი ძალას არძენდუუ, კოჩანას არძენდ ღვინსი დო ფერს ხოლო არძენდ დო არომატის ხოლო არძენდ.	It was Kachichi that gave it strength, power, and gave it color as well. It have aroma too.
ადესა ჯგირ არომატ უღ, მარა კაჭიჭ გეთმუუძინაანდ ხოლო დო ათე უჩა ღვინი, ართმაჟია ხოლაფირი ჩქიმ ბაღანობას არძას უღუდ.	Isabella has good aroma; however, Kachichi increased it, and, in my childhood, everybody had a mixture of these two wines.
ათაქ ჩქიმ მეზობელეფს, არძას უღუდ თე კაჭიჭ დო ადეს მეტ მუთუნ ვაჩანდ თაქინეშის.	Here, all of my neighbor had Kachichi and Isabella. Nothing else thrived here.
ხოდო ჩეეში ჩაანდუ ხოლო ჩქიმ ბაღანობას.	Well, Cheshi too thrived in my childhood.
ჩეში ჯოხოდუ, ნოვას უძახუნა მაჟიანერო.	Its name was Chemi, also known as Nova.
ჩე ჸურძენიე თენა.	This is a white grape.
ხოოდო ეთიშე ჩე ღვინს ოდგინანდეეს.	And, white wine was made of it.
თის ხოლო მუშ ინა ოკო, გიჩქუდას ოკო მუნერო დაარინუე.	You should be competent how to make it.
ჯგირო ქჷდარინუანქ დო შამპანურჯგურა ღვინ ქოდოდირთუ, მუსით ჯოხო დო.	If you make it well, the wine will be like a champaign as such.
