Russian	Mingrelian
Я	მა
Мы	ჩქჷ
Ты	სი
Вы	თქვა
Он	თინა
Они	თინეფი
Здравствуйте	გომორძგუა
Всего хорошего	ჯგჷრობუა
Дай Бог тебе всего хорошего	გოიმორძგუ ღორონთქჷ
До свидания	ჯგჷრო ორდა
Как ты?	მუჭო რექჷ?
Хорошо себя чувствую	ჯგირო ვორექჷ
Где ты находишься?	სო რექჷ?
Я здесь	თაქჷ ვორექჷ
Куда идешь?	სო მეულჷ?
Туда	თეურე
Сюда	თაურე
Куда?	სოიშა?
Ваше имя	თქვანი სახელი
Как тебя зовут?	სი მუ რჯოხო?
Как Вас зовут?	თქვა მუ რჯოხონა?
Меня зовут Вано	მა ბჯოხო ვანო
Мое имя Вано	ჩქიმი სახელი რე ვანო
Я Вано	მა ვორექჷ ვანო
Моя фамилия	ჩქიმი გვარი რე
Если можно познакомимся друг с другом	შილებენი და ართიანი გეფჩინებაფუათჷ
Безмерное спасибо	უზომო მადლობა
Хочу познакомить	მოკო გჷგოჩინებაფუათჷ
Это есть	თენა რე
Рад Вашему приходу	მოხიოლჷ თქვანი მოულა
Я из Абхазии (Гал; Сухум)	მა აფხაზეთიშე (გალჷშე; სოხუმიშე) ვორექჷ
Я впервые в этой стране, в этом городе	მა პირველო ვორექჷ თე ქიანასჷ, თე ნოღასჷ
Можно войти?	შილებებენო მინიბლენი?
Извольте войти	მოზოჯითჷ
Извольте сесть	დოზოჯითჷ
Извините	ბოდიში
Не за что (не стоит)	მუში მადლობა? ვაღირსჷ
Всего хорошего желаем!	ირფელი ჯგჷრცჷ გიზალანთჷ!
Всего хорошего	ჯგირო ორდათჷ
Хорошей дороги	ჯგირი შარა
Город	ნოღა (ქალაქი)
Село	სოფელი
Место рождения	დაბადებაში არდგილი
Нация	ნაცია
Образование	განათლება
Приглашение	დაპეჯება
Страна	ქიანა
Турист	ტურისტი
Учреждение	დაწესებულება
Учеба	გურაფა
Писать	ჭარუა
Спросить	კითხირი
Разговор	რაგადი
Язык	ნინა
Знакомство	გაჩინება
Понимание	გაგება
Работа	სამუშა
Имя	სახელი
Фамилия	გვარი
Спасибо	მადლობა
Аэропорт	აეროპორტი
Когда я должен быть в аэропорту?	მუჯამი ოკო ვორდე აეროპორტისჷ?
Какой автобус едет в аэропорт?	ნამუ ავტობუსი მეურცუ აეროპორტიშა?
Куда летите?	სო მეფურინჷნთჷ?
Еду в Омск	მეულჷ ომსკიშა
Каким рейсом летите?	ნამუ რეისითჷ მეფურინჷნთჷ?
Начата ли регистрация на рейс № 2526?	რეისი №2526 რეგისტრაცია ქჷდიჭყესო?
Начали	ქჷდიჭყესჷ
В какие дни рейсы в Москву?	მუ დღალეფცჷ რე რეისეფი მოსკოვიშა?
Сколько стоит билет?	მუ ღირჷ ბილეთი?
Я из Гала	მა გალჷშე ვორექჷ
Еду в гости	მეულჷ სუმარო
Вот мой паспорт	ა ჩქიმი პასპორტი
Где таможня?	სო რე საბაჟო?
Где расписаться?	სოდე მუვოჭარა ხე?
Что везете?	მუ მეიღუნა?
Подарки	საჩუქარეფი
Откройте чемодан	გონწყითჷ ჩემოდანი
В кассе заплатите деньги	ფარა გინიგითჷ კასასჷ
Таможенное страхование	საბაჟო ზღუალა
Пункт обмена валюты	ვალიუტაში გინათჷრალი პუნქტი
Камера хранения	მიობარებელი (ოჩუალარი) კამერა
Бюро обслуживания	სამოინალო ბიურო
Место	არდგილი
Номер рейса	რეისიში ნომერი
Регистратура	რეგისტრატურა
Вход в самолет	ავტომაფურინჯეშა ეშალი
Выход	გჷმალი
Таможенные правила	საბაჟო წესეფი
Мне надо пройти в посольство России	მა მიოულარი მაფუ რუსეთიში საელჩოშა
Разменяйте 100 долларов	გომხურდეთჷ 100 დოლარი
Граница	სანძღო
