თვითონ ასე მა სოდეთ მუვშენქინ, თე სოფელს ჯოხო ზუბი.	The name of the village, I work presently, is Zubi.
თვითონ თე წარმომავლობა თე სიტყვაში, სოვრე მორთუ ზუბიქინ, დიდი ფიქრი ვაკო თეს, რუსეფიშ მუშულაშ უკული ოკო რდას დო თე ტერიტორია, ადრე, ა, სოდეთ ასე სოფელიენ, თენა ჸოფე ხობწყარპიჯი.	As for the origin of the word, it is not difficult to guess. It should have occurred after the Russian invasion. The territory, where the village is located presently, was a bank of the Khobistskali river.
ანუ დასახლება ვაჸოფე.	That is, there was no settlement.
ოდო მიდგარენი კოს მინოჸვე ურემი, ოდო ქუძირუ რუსი მიდგარენი განწარებული გილერულე დო ქოუკითხირ მუ გოკონია, თუ მუ გაწუხენსიან, თეს უთქუალ ზუბი, ზუბია დო კიბირს ნოჭუე.	A man going with his cart and saw a trouble Russian running, and, when he asked what was happening to him, the answer was: "Zub, Zub." It appeared that he suffered from tooth-ache.
მარა ინდროს რუსული სოფელს მითინს ვაუჩქუდუ, ოდო თე კოჩშა ხოლო მუთუნი, ასე ვთქვათ, შენწება თე მეურემეში განშე ვაჸოფე.	But, in those times, nobody in the village spoke Russian, and the carter didn't give him a hand of help.
მარა თვითონ თე სახელი ზუბი უცხო სიტყვა რდუნი, ბოლოს ეთი უბანშა ქიგუდვალუნა, სოდეთ ამდღარი ჩქინი სოფლელეფი ცხოვრენანი.	However, the name Zubi, as a foreign word, was eventually given to the neighborhood where my fellow villagers live presently.
სკოლა რე ზუბისი.	There is a school in Zubi.
ოშაყარალი მაღაზია ცალკე მიღუნა.	There is a shop where we come together.
ადრე აფთიაქი ხოლო მიღუდეს მარა ვაჸუნს იზმა, ასე ვთქვათ, მომხმარებელი დო იშ დიკილუ.	In the past, we had a pharmacy as well; however, it doesn't have enough customaers and it was closed.
იირფელი მუთ ქორთულ წესენს ახასიათენსინ თე სოფელიშ დინახალე, ირფელი ისრულებუ.	Everything what pertains to Georgian customs is performed in the village.
ახალი წანაში მულა, ქირსეში აღნიშვნა.	We celebrate New Year's Day, Christmas.
